States,Payment_type,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Haryana,Merchant payments,1003057,427.39,2018,3rd Quarter,6.0,28.45000633,77.01999101
Haryana,Financial Services,100452,17.32,2018,3rd Quarter,6.0,28.45000633,77.01999101
Haryana,Others,201148,190.51,2018,3rd Quarter,6.0,28.45000633,77.01999101
Haryana,Peer-to-peer payments,5905032,22416.92,2018,4th Quarter,6.0,28.45000633,77.01999101
Haryana,Recharge & bill payments,4116262,1671.04,2018,4th Quarter,6.0,28.45000633,77.01999101
Haryana,Merchant payments,2413446,1013.41,2018,4th Quarter,6.0,28.45000633,77.01999101
Haryana,Financial Services,120711,22.25,2018,4th Quarter,6.0,28.45000633,77.01999101
Haryana,Others,394732,267.26,2018,4th Quarter,6.0,28.45000633,77.01999101
Himachal Pradesh,Recharge & bill payments,284371,49.87,2018,1st Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Peer-to-peer payments,154572,546.22,2018,1st Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Merchant payments,13241,13.85,2018,1st Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Financial Services,8955,2.04,2018,1st Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Others,20779,16.75,2018,1st Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Recharge & bill payments,385642,83.71,2018,2nd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Peer-to-peer payments,243436,1043.7,2018,2nd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Merchant payments,27851,31.96,2018,2nd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Financial Services,11330,4.11,2018,2nd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Others,19436,19.68,2018,2nd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Recharge & bill payments,457449,108.46,2018,3rd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Peer-to-peer payments,362755,1596.57,2018,3rd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Merchant payments,40675,31.17,2018,3rd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Financial Services,8182,1.55,2018,3rd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Others,17693,16.29,2018,3rd Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Recharge & bill payments,598325,143.03,2018,4th Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Peer-to-peer payments,590518,2367.23,2018,4th Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Merchant payments,86963,87.58,2018,4th Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Financial Services,11834,2.28,2018,4th Quarter,2.0,31.10002545,77.16659704
Himachal Pradesh,Others,20243,21.18,2018,4th Quarter,2.0,31.10002545,77.16659704
Jammu & Kashmir,Recharge & bill payments,457813,78.81,2018,1st Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Peer-to-peer payments,353621,861.67,2018,1st Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Financial Services,65683,10.27,2018,1st Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Merchant payments,28696,30.97,2018,1st Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Others,35755,23.65,2018,1st Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Recharge & bill payments,794502,166.76,2018,2nd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Peer-to-peer payments,771844,2372.96,2018,2nd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Financial Services,112422,15.64,2018,2nd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Merchant payments,79248,64.45,2018,2nd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Others,38310,31.39,2018,2nd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Peer-to-peer payments,1260453,3616.02,2018,3rd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Recharge & bill payments,822143,203.08,2018,3rd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Merchant payments,140076,82.83,2018,3rd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Financial Services,44464,6.4,2018,3rd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Others,36825,26.37,2018,3rd Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Peer-to-peer payments,1265457,5151.83,2018,4th Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Recharge & bill payments,970724,254.47,2018,4th Quarter,1.0,34.29995933,74.46665849
Jammu & Kashmir,Merchant payments,402303,215.77,2018,4th Quarter,1.0,34.29995933,74.46665849
